Reason,City,City & Province,,hub,Food Hub,Total,adjusted_hungry_people,,coordinate
Food & Meals,Quesnel,"Quesnel, BC","Quesnel BC,",,,9,45,,"52.974843,-122.497801,""Quesnel BC,"",""Quesnel, BC, CA"",,MapQuest,city/town"
Food & Meals,Saanichton,"Saanichton, BC","Saanichton BC,",,,8,36,,"48.598177,-123.412578,""Saanichton BC,"",""Saanichton, BC, CA"",,MapQuest,city/town"
Food & Meals,Campbell River,"Campbell River, BC","Campbell River BC,",Strathcona,Laichwiltach Family Life Society,8,30,,"50.023179,-125.249537,""Campbell River BC,"",""Campbell River, BC, CA"",,MapQuest,city/town"
Food & Meals,Hope,"Hope, BC","Hope BC,",,,8,36,,"49.384681,-121.441185,""Hope BC,"",""Hope, Fraser Valley, BC, CA"",,MapQuest,city/town"
Food & Meals,Langford,"Langford, BC","Langford BC,",,,7,37,,"48.455058,-123.496454,""Langford BC,"",""Langford, BC, CA"",,MapQuest,city/town"
Food & Meals,Dawson Creek,"Dawson Creek, BC","Dawson Creek BC,",,,7,36,,"55.766763,-120.224566,""Dawson Creek BC,"",""Dawson Creek, BC, CA"",,MapQuest,city/town"
Food & Meals,Oliver,"Oliver, BC","Oliver BC,",,,7,16,,"49.182334,-119.550437,""Oliver BC,"",""Oliver, BC, CA"",,MapQuest,city/town"
Food & Meals,Sidney,"Sidney, BC","Sidney BC,",,,7,25,,"48.648943,-123.400304,""Sidney BC,"",""Sidney, BC, CA"",,MapQuest,city/town"
Food & Meals,Vanderhoof,"Vanderhoof, BC","Vanderhoof BC,",,,6,26,,"54.018346,-123.995634,""Vanderhoof BC,"",""Vanderhoof, BC, CA"",,MapQuest,city/town"
Food & Meals,Salmon Arm,"Salmon Arm, BC","Salmon Arm BC,",North Okanagan,Land to Table Network,6,17,,"50.700148,-119.28391,""Salmon Arm BC,"",""Salmon Arm, BC, CA"",,MapQuest,city/town"
Food & Meals,Sechelt,"Sechelt, BC","Sechelt BC,",,,6,13,,"49.47239,-123.759112,""Sechelt BC,"",""Sechelt, BC, CA"",,MapQuest,city/town"
Food & Meals,Fort St John,"Fort St John, BC","Fort St John BC,",,,6,27,,"56.233488,-120.821135,""Fort St John BC,"",""Ft Saint John, BC, CA"",,MapQuest,city/town"
Food & Meals,Coal Harbour,"Coal Harbour, BC","Coal Harbour BC,",,,6,27,,"50.599998,-127.583298,""Coal Harbour BC,"",""Coal Harbour, BC, CA"",,MapQuest,city/town"
Food & Meals,Nelson,"Nelson, BC","Nelson BC,",,,6,23,,"49.493619,-117.295419,""Nelson BC,"",""Nelson, BC, CA"",,MapQuest,city/town"
Food & Meals,100 Mile House,"100 Mile House, BC","100 Mile House BC,",,,5,23,,"51.643726,-121.294121,""100 Mile House BC,"",""100 Mile House, BC, CA"",,MapQuest,city/town"
Food & Meals,Comox,"Comox, BC","Comox BC,",,,5,14,,"49.675783,-124.935164,""Comox BC,"",""Comox, BC, CA"",,MapQuest,city/town"
Food & Meals,West Vancouver,"West Vancouver, BC","West Vancouver BC,",,,5,21,,"49.338206,-123.168017,""West Vancouver BC,"",""West Vancouver, BC, CA"",,MapQuest,city/town"
Food & Meals,West Kelowna,"West Kelowna, BC","West Kelowna BC,",,,4,14,,"49.832009,-119.632727,""West Kelowna BC,"",""Westbank, BC, CA"",,MapQuest,city/town"
Food & Meals,Whitehorse,"Whitehorse, BC","Whitehorse BC,",,,4,18,,"49.023879,-122.80121,""Whitehorse BC,"",""White Rock, BC, CA"",,MapQuest,city/town"
Food & Meals,Williams Lake,"Williams Lake, BC","Williams Lake BC,",Central Cariboo,Williams Lake Food Policy Council,4,23,,"52.142668,-122.144261,""Williams Lake BC,"",""Williams Lake, BC, CA"",,MapQuest,city/town"
Food & Meals,Smithers,"Smithers, BC","Smithers BC,",,,4,17,,"54.782251,-127.181583,""Smithers BC,"",""Smithers, BC, CA"",,MapQuest,city/town"
Food & Meals,Port Mcneill,"Port Mcneill, BC","Port Mcneill BC,",,,4,18,,"50.58386,-127.085825,""Port Mcneill BC,"",""Port McNeill, BC, CA"",,MapQuest,city/town"
Food & Meals,Port Moody,"Port Moody, BC","Port Moody BC,",Tri-Cities,SHARE Family & Community Services,4,21,,"49.276658,-122.866797,""Port Moody BC,"",""Port Moody, BC, CA"",,MapQuest,city/town"
Food & Meals,Merritt,"Merritt, BC","Merritt BC,",,,4,12,,"50.111805,-120.788495,""Merritt BC,"",""Merritt, BC, CA"",,MapQuest,city/town"
Food & Meals,Invermere,"Invermere, BC","Invermere BC,",,,3,10,,"50.510857,-116.029686,""Invermere BC,"",""Invermere, BC, CA"",,MapQuest,city/town"
Food & Meals,Kitimat,"Kitimat, BC","Kitimat BC,",,,3,10,,"54.055238,-128.653928,""Kitimat BC,"",""Kitimat, BC, CA"",,MapQuest,city/town"
Food & Meals,Lake Country,"Lake Country, BC","Lake Country BC,",,,3,12,,"50.088465,-119.397869,""Lake Country BC,"",""Lake Country, BC, CA"",,MapQuest,city/town"
Food & Meals,Coombs,"Coombs, BC","Coombs BC,",,,3,14,,"49.304444,-124.419444,""Coombs BC,"",""Coombs, BC, CA"",,MapQuest,city/town"
Food & Meals,Chemainus,"Chemainus, BC","Chemainus BC,",,,3,22,,"48.916599,-123.699898,""Chemainus BC,"",""Chemainus, BC, CA"",,MapQuest,city/town"
Food & Meals,Qualicum,"Qualicum, BC","Qualicum BC,",,,3,17,,"49.396267,-124.610006,""Qualicum BC,"",""Qualicum, BC, CA"",,MapQuest,city/town"
Food & Meals,Terrace,"Terrace, BC","Terrace BC,",,,3,13,,"54.518827,-128.61133,""Terrace BC,"",""Terrace, BC, CA"",,MapQuest,city/town"
Food & Meals,Summerland,"Summerland, BC","Summerland BC,",,,3,7,,"49.601338,-119.677717,""Summerland BC,"",""Summerland, BC, CA"",,MapQuest,city/town"
Food & Meals,Trail,"Trail, BC","Trail BC,",,,2,6,,"49.098617,-117.702387,""Trail BC,"",""Trail, BC, CA"",,MapQuest,city/town"
